0,Bernahl,22,100075,100099
0,Boggart,22,100150,100174
0,Brother Corhyn,22,100350,100399
0,D,22,100125,100149
1,Dragon Communion - Bayle,135,102350,102351
0,Dragon Communion - Caelid,135,101950,101974
0,Dragon Communion - Limgrave,135,101975,101999
0,Enia - Equipment,148,101500,101574
0,Enia - Remembrances,111,101898,101949
0,Gostoc,22,100000,100024
0,Gowry Incantations,22,100185,100199
0,Gowry Sorceries,22,100175,100184
0,Hermit Merchant - Leyndell,22,100725,100749
0,Iji,22,100225,100249
0,Imprisoned Merchant - Mohgwyn,22,100975,100999
0,Isolated Merchant - Liurnia,22,100625,100649
0,Isolated Merchant - Dragonbarrow,22,100875,100899
0,Kale,22,100500,100524
0,Merchant - Academy of Raya Lucaria,22,100675,100699
0,Merchant - Ainsel,22,100950,100974
0,Merchant - Altus Plateau,22,100750,100774
0,Merchant - Caelid Highway North,22,100800,100824
0,Merchant - Coastal Cave,22,100575,100599
0,Merchant - East Limgrave,22,100550,100574
0,Merchant - East Weeping Peninsula,22,100600,100624
0,Merchant - Mountaintops,22,100900,100924
0,Merchant - Mt. Gelmir,22,100775,100799
0,Merchant - North Limgrave,22,100525,100549
0,Merchant - North Liurnia,22,100700,100724
0,Merchant - Siofra,22,100925,100949
0,Merchant - South Caelid,22,100825,100849
0,Merchant - Weeping Peninsula,22,100650,100674
0,Miriel Incantations,22,100425,100474
0,Miriel Sorceries,22,100400,100424
1,Moore,22,102250,102289
0,Patches,22,100100,100124
0,Pidia,22,100325,100349
0,Rogier,22,100200,100224
0,Seluvis,22,100275,100299
0,Seluvis Puppets,144,100300,100324
0,Sorceress Sellen,22,100050,100074
1,Thiollier,22,102270,102289
0,Twin Maiden Husks,22,101800,101899
